Median Household Income,Per Capita Income,Gini Index of Income Inequality,Total Population,Median Age,Median Home Value,State Code (FIPS),Year,Unemployment Rate,Percent Foreigners,PC1,PC2,PC3,KMeans_Cluster,State Name,State Code (USPS)
62212.0,35046.0,0.4771,5108468.0,39.6,216600.0,01,2023,0.018803876230603773,0.039765933739821804,-1.8178820340421524,0.4075870911845984,-0.24561404609018356,1,Alabama,AL
86631.0,45792.0,0.4492,733406.0,36.5,347500.0,02,2023,0.02386808943477419,0.0744076268806091,0.3750778064065926,-1.0549281215141486,-0.6360939983367113,0,Alaska,AK
77315.0,41290.0,0.465,7431344.0,39.3,411200.0,04,2023,0.020882494472063196,0.13199859944580683,0.4640098465839645,-0.009276418873917067,-0.16303115810252028,0,Arizona,AZ
58700.0,33012.0,0.474,3067732.0,38.9,195700.0,05,2023,0.019463890587574143,0.052918573069616254,-2.0226039660485315,0.42449211109106094,-0.4939956012112847,1,Arkansas,AR
95521.0,48013.0,0.487,38965193.0,38.2,725800.0,06,2023,0.028508931034936746,0.273064655422084,5.039345173526158,2.4260215157190785,-1.8642457429452635,2,California,CA
92911.0,51768.0,0.4575,5877610.0,37.9,550300.0,08,2023,0.021154176612602743,0.09580441710150894,1.7164454324995035,-1.1940858808022787,-0.02806938371796692,2,Colorado,CO
91665.0,53119.0,0.4954,3617176.0,41.5,367800.0,09,2023,0.025086697467858906,0.16327875668753747,1.7319598092148936,0.9537663031522363,1.4725552959572077,2,Connecticut,CT
81361.0,44350.0,0.4557,1031890.0,42.0,359700.0,10,2023,0.017532876566300672,0.11157100078496739,-0.11016591816698515,-0.9085125650542215,1.202168747095849,0,Delaware,DE
108210.0,78479.0,0.5163,678972.0,34.9,715500.0,11,2023,0.03149761698567835,0.14055807897822,5.221722541444102,0.31200787361597493,0.7214250351149807,2,District of Columbia,DC
73311.0,41902.0,0.4829,22610726.0,42.8,381000.0,12,2023,0.020342071280683337,0.22099573450228888,1.3081759089858984,1.774409824978361,0.10007270650197937,2,Florida,FL
74632.0,39685.0,0.4787,11029227.0,37.9,323000.0,13,2023,0.02243049308895356,0.11555315707982074,0.21127940133749323,0.7512209889299146,-0.9288819707179718,1,Georgia,GA
95322.0,43794.0,0.4512,1435138.0,41.4,846400.0,15,2023,0.017018572429968407,0.17820934293426835,2.3641485662216124,-1.6882372342811423,1.4592681289412497,2,Hawaii,HI
74942.0,37426.0,0.4404,1964726.0,37.8,428600.0,16,2023,0.01776023730535454,0.057009985107338124,-0.6741437138009573,-1.5651377296391864,-0.5801200921056443,0,Idaho,ID
80306.0,45043.0,0.481,12549689.0,39.5,263300.0,17,2023,0.02498316890561989,0.14971606069281876,0.8404152735972984,1.2371565945373602,-0.3238402351969248,2,Illinois,IL
69477.0,37299.0,0.4536,6862199.0,38.3,225900.0,18,2023,0.018648832538957265,0.06304859418970508,-1.2242321725544207,-0.4841456000650108,-0.878551120126689,0,Indiana,IN
71433.0,39518.0,0.4464,3207004.0,39.1,213300.0,19,2023,0.014709367372164175,0.05881034136533662,-1.484688129028174,-1.3602608826848168,-0.3666087406314939,0,Iowa,IA
70333.0,38361.0,0.4518,2940547.0,37.9,219800.0,20,2023,0.01695840943878809,0.07053823659339571,-1.2937034672156726,-0.9671032358387763,-0.7660016281576428,0,Kansas,KS
61118.0,34676.0,0.4759,4526154.0,39.2,211800.0,21,2023,0.019762252897272164,0.04455703451539651,-1.8121506850460574,0.4780870529525534,-0.3790445492245357,1,Kentucky,KY
58229.0,34102.0,0.4967,4573749.0,38.7,215600.0,22,2023,0.02275901016868219,0.04868478790593887,-1.6461779729451211,1.4927341943872174,-0.4312140454330164,1,Louisiana,LA
73733.0,42936.0,0.4509,1395722.0,44.9,310700.0,23,2023,0.016615773055092632,0.03829415886544742,-1.3554094919368564,-0.8591835311369471,2.0817097023709197,0,Maine,ME
98678.0,50728.0,0.4561,6180253.0,39.8,413600.0,24,2023,0.0213902246396709,0.17020193186266,1.8847490986729714,-0.7935039682552423,0.4296193999289312,2,Maryland,MD
99858.0,55897.0,0.4879,7001399.0,40.3,570800.0,25,2023,0.022010886681361825,0.1804753592817664,2.936866133832824,0.028891281886310502,1.0871682721398954,2,Massachusetts,MA
69183.0,38952.0,0.4658,10037261.0,40.5,236100.0,26,2023,0.022450048872894708,0.07348140095191308,-0.830797190728088,0.6506242938679617,-0.1475272427236389,1,Michigan,MI
85086.0,46530.0,0.4541,5737915.0,39.1,328600.0,27,2023,0.016670689614607395,0.08632961624562233,0.11816632634352842,-1.270202501885403,-0.07104176482929725,0,Minnesota,MN
54203.0,30807.0,0.4843,2939690.0,39.3,169800.0,28,2023,0.021987692579829847,0.02556902258401396,-2.450062564003652,1.1555413671264259,-0.35450128273028364,1,Mississippi,MS
68545.0,38699.0,0.4608,6196156.0,39.3,233600.0,29,2023,0.01757428315232864,0.04790583064725937,-1.3654631199474787,-0.40974740164797985,-0.3845017202719279,0,Missouri,MO
70804.0,40197.0,0.4601,1132812.0,40.6,392300.0,30,2023,0.013866378534125697,0.021736175111139358,-1.317473020939391,-1.2980052340886277,0.6184978024953114,0,Montana,MT
74590.0,41436.0,0.4634,1978379.0,37.4,245200.0,31,2023,0.014343055602591819,0.07700294028596139,-0.9315209916619195,-1.197817749366932,-0.6786129408723363,0,Nebraska,NE
76364.0,40463.0,0.4632,3194176.0,39.4,441100.0,32,2023,0.023297401270311966,0.1924687305896732,0.890406363813279,0.23076387080623115,0.10153342044909572,2,Nevada,NV
