Detailed Statistics Departures  
Origin Airport: Newark, NJ: Newark Liberty International (EWR)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2017, 2018, 2019, 2021, 2022, 2023 and 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Actual departure time
"F9","01/17/2022","1531","","ATL","00:00"
"F9","01/17/2022","2959","N358FR","MIA","12:13"
"F9","01/18/2021","2959","N375FR","MIA","13:02"
"F9","01/18/2022","1259","N387FR","MCO","05:59"
"F9","01/18/2022","1261","N371FR","MCO","12:50"
"F9","01/18/2022","1531","N337FR","ATL","13:31"
"F9","01/19/2022","1259","N360FR","MCO","05:49"
"F9","01/19/2022","1261","N341FR","MCO","13:05"
"F9","01/19/2022","1531","N332FR","ATL","13:05"
"F9","01/20/2022","1259","N328FR","MCO","05:50"
"F9","01/20/2022","1261","N372FR","MCO","13:25"
"F9","01/20/2022","1531","N356FR","ATL","13:10"
"F9","01/20/2022","2959","N386FR","MIA","12:12"
"F9","01/21/2021","1259","N356FR","MCO","15:00"
"F9","01/21/2021","2961","N366FR","MIA","18:58"
"F9","01/21/2022","1259","N374FR","MCO","05:50"
"F9","01/21/2022","1261","N207FR","MCO","13:47"
"F9","01/21/2022","1531","N384FR","ATL","13:11"
"F9","01/21/2022","2959","N366FR","MIA","12:06"
"F9","01/22/2021","1259","N358FR","MCO","14:50"
"F9","01/22/2021","2959","N232FR","MIA","13:07"
"F9","01/22/2022","1259","N316FR","MCO","06:15"
"F9","01/22/2022","1261","N381FR","MCO","13:29"
"F9","01/22/2022","1531","N323FR","ATL","13:10"
"F9","01/23/2022","1259","N369FR","MCO","06:04"
"F9","01/23/2022","1261","N354FR","MCO","13:12"
"F9","01/23/2022","1531","N368FR","ATL","13:26"
"F9","01/23/2022","2959","N363FR","MIA","12:11"
"F9","01/24/2021","1259","N326FR","MCO","14:53"
"F9","01/24/2021","2961","N232FR","MIA","18:47"
"F9","01/24/2022","1259","N384FR","MCO","05:51"
"F9","01/24/2022","1261","N368FR","MCO","13:06"
"F9","01/24/2022","1531","N354FR","ATL","13:07"
"F9","01/24/2022","2959","N227FR","MIA","12:03"
"F9","01/25/2021","2959","N232FR","MIA","13:00"
"F9","01/25/2022","1259","N376FR","MCO","05:51"
"F9","01/25/2022","1261","N303FR","MCO","12:51"
"F9","01/25/2022","1531","N330FR","ATL","13:07"
"F9","01/26/2022","1259","N330FR","MCO","05:53"
"F9","01/26/2022","1261","N227FR","MCO","13:09"
"F9","01/26/2022","1531","N367FR","ATL","13:07"
"F9","01/27/2022","1259","N317FR","MCO","06:11"
"F9","01/27/2022","1261","N339FR","MCO","14:01"
"F9","01/27/2022","1531","N382FR","ATL","13:18"
"F9","01/27/2022","2959","N383FR","MIA","12:05"
"F9","01/28/2021","2961","N331FR","MIA","18:53"
"F9","01/28/2022","1259","N366FR","MCO","05:50"
"F9","01/28/2022","1261","N332FR","MCO","15:08"
"F9","01/28/2022","1531","N232FR","ATL","14:33"
"F9","01/28/2022","2959","N238FR","MIA","12:30"
"F9","01/29/2021","2961","N233FR","MIA","19:21"
"F9","01/29/2022","1259","","MCO","00:00"
"F9","01/29/2022","1261","","MCO","00:00"
"F9","01/29/2022","1531","","ATL","00:00"
"F9","01/30/2022","1259","N360FR","MCO","10:46"
"F9","01/30/2022","1261","N329FR","MCO","13:19"
"F9","01/30/2022","1531","N377FR","ATL","13:28"
"F9","01/30/2022","2959","N386FR","MIA","12:15"
"F9","01/31/2021","1259","N310FR","MCO","14:52"
"F9","01/31/2021","2959","N376FR","MIA","13:10"
"F9","01/31/2021","2961","N354FR","MIA","18:56"
"F9","01/31/2022","1259","N364FR","MCO","05:56"
"F9","01/31/2022","1261","N351FR","MCO","13:07"
"F9","01/31/2022","1531","N377FR","ATL","13:07"
"F9","01/31/2022","2959","N375FR","MIA","12:09"
"F9","02/01/2021","2959","","MIA","00:00"
