Detailed Statistics Departures  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2017, 2018, 2019, 2021, 2022, 2023 and 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Actual departure time
"F9","01/17/2019","1086","N301FR","MCO","18:22"
"F9","01/17/2019","1087","N312FR","LAS","10:17"
"F9","01/17/2019","1841","N949FR","AUS","11:55"
"F9","01/18/2017","1747","N951FR","MCO","17:57"
"F9","01/18/2018","1149","N236FR","LAS","22:24"
"F9","01/18/2018","1623","N902FR","MCO","12:14"
"F9","01/18/2018","1923","N236FR","AUS","05:56"
"F9","01/18/2019","1086","N229FR","MCO","17:52"
"F9","01/18/2021","1087","N347FR","MCO","14:04"
"F9","01/19/2017","1747","N943FR","MCO","17:41"
"F9","01/19/2018","1149","N317FR","LAS","22:40"
"F9","01/19/2018","1517","N317FR","SAT","05:57"
"F9","01/19/2018","1623","N323FR","MCO","12:22"
"F9","01/19/2019","1086","N337FR","MCO","17:55"
"F9","01/19/2019","1841","N949FR","AUS","11:45"
"F9","01/20/2017","1747","N927FR","MCO","17:44"
"F9","01/20/2018","1149","N309FR","LAS","22:35"
"F9","01/20/2018","1517","N309FR","SAT","05:51"
"F9","01/20/2018","1623","N307FR","MCO","15:03"
"F9","01/20/2019","1086","N205FR","MCO","21:19"
"F9","01/20/2019","1087","N343FR","LAS","10:09"
"F9","01/20/2019","1841","N949FR","AUS","12:33"
"F9","01/21/2017","1747","N941FR","MCO","17:43"
"F9","01/21/2018","1149","N317FR","LAS","22:26"
"F9","01/21/2018","1623","N221FR","MCO","12:25"
"F9","01/21/2018","1923","N317FR","AUS","05:52"
"F9","01/22/2017","1747","N948FR","MCO","18:32"
"F9","01/22/2018","1149","N309FR","LAS","22:26"
"F9","01/22/2018","1517","N309FR","SAT","05:57"
"F9","01/22/2018","1623","N238FR","MCO","12:19"
"F9","01/22/2019","1086","N339FR","MCO","16:35"
"F9","01/22/2019","1087","N309FR","LAS","10:22"
"F9","01/22/2019","1841","N949FR","AUS","11:57"
"F9","01/23/2017","1747","N927FR","MCO","17:43"
"F9","01/23/2018","1149","N205FR","LAS","22:22"
"F9","01/23/2018","1623","N304FR","MCO","12:08"
"F9","01/23/2018","1923","N205FR","AUS","05:52"
"F9","01/23/2019","1086","N336FR","MCO","17:42"
"F9","01/23/2019","1841","N949FR","AUS","12:32"
"F9","01/24/2017","1747","N943FR","MCO","17:42"
"F9","01/24/2018","1149","N202FR","LAS","22:26"
"F9","01/24/2018","1517","N202FR","SAT","05:53"
"F9","01/24/2018","1623","N219FR","MCO","12:14"
"F9","01/24/2019","1086","N303FR","MCO","16:29"
"F9","01/24/2019","1087","N236FR","LAS","12:45"
"F9","01/24/2019","1841","N949FR","AUS","11:52"
"F9","01/25/2017","1747","N948FR","MCO","19:23"
"F9","01/25/2018","1149","N216FR","LAS","22:24"
"F9","01/25/2018","1623","N201FR","MCO","12:24"
"F9","01/25/2018","1923","N216FR","AUS","05:51"
"F9","01/25/2019","1086","N334FR","MCO","18:04"
"F9","01/25/2021","1087","N313FR","MCO","14:02"
"F9","01/26/2017","1747","N952FR","MCO","19:10"
"F9","01/26/2018","1149","N238FR","LAS","23:27"
"F9","01/26/2018","1517","N238FR","SAT","05:59"
"F9","01/26/2018","1623","N312FR","MCO","12:20"
"F9","01/26/2019","1086","N330FR","MCO","17:36"
"F9","01/26/2019","1841","N938FR","AUS","11:47"
"F9","01/27/2017","1747","N953FR","MCO","17:40"
"F9","01/27/2018","1149","N303FR","LAS","01:06"
"F9","01/27/2018","1517","N223FR","SAT","05:52"
"F9","01/27/2018","1623","N233FR","MCO","12:10"
"F9","01/27/2019","1086","N211FR","MCO","21:36"
"F9","01/27/2019","1087","N330FR","LAS","10:11"
"F9","01/27/2019","1841","N910FR","AUS","12:11"
"F9","01/28/2017","1747","N910FR","MCO","17:41"
"F9","01/28/2018","1149","N213FR","LAS","22:24"
"F9","01/28/2018","1623","N201FR","MCO","17:35"
"F9","01/28/2018","1923","N213FR","AUS","05:58"
"F9","01/29/2017","1747","N948FR","MCO","17:42"
"F9","01/29/2018","1149","N318FR","LAS","22:29"
"F9","01/29/2018","1517","N318FR","SAT","05:50"
"F9","01/29/2018","1623","","MCO","00:00"
"F9","01/29/2019","1086","N336FR","MCO","16:37"
"F9","01/29/2019","1087","N227FR","LAS","10:04"
"F9","01/29/2019","1841","N949FR","AUS","12:34"
"F9","01/29/2021","1087","N334FR","MCO","14:05"
"F9","01/30/2018","1149","N310FR","LAS","22:27"
"F9","01/30/2018","1623","N223FR","MCO","12:14"
"F9","01/30/2018","1923","N310FR","AUS","06:33"
"F9","01/30/2019","1086","N305FR","MCO","17:35"
"F9","01/30/2019","1841","N941FR","AUS","11:46"
"F9","01/30/2021","2740","N366FR","ORF","10:54"
"F9","01/31/2017","1747","N943FR","MCO","17:41"
"F9","01/31/2018","1149","N318FR","LAS","22:30"
"F9","01/31/2018","1517","N318FR","SAT","05:53"
"F9","01/31/2018","1623","N210FR","MCO","12:21"
"F9","01/31/2019","1086","N312FR","MCO","16:37"
"F9","01/31/2019","1087","N317FR","LAS","10:05"
"F9","01/31/2019","1841","N941FR","AUS","11:50"
"F9","02/01/2017","1747","N216FR","MCO","17:33"
"F9","02/01/2018","1149","N303FR","LAS","22:30"
"F9","02/01/2018","1623","N238FR","MCO","12:16"
"F9","02/01/2018","1923","N303FR","AUS","05:59"
"F9","02/01/2019","1086","N305FR","MCO","17:39"
"F9","02/01/2021","1087","N216FR","MCO","14:08"
"F9","02/02/2017","1747","N951FR","MCO","17:37"
"F9","02/02/2018","1149","N318FR","LAS","22:38"
"F9","02/02/2018","1517","N318FR","SAT","05:52"
"F9","02/02/2018","1623","N308FR","MCO","12:22"
"F9","02/02/2019","1086","N210FR","MCO","17:35"
"F9","02/02/2019","1841","N927FR","AUS","11:52"
"F9","02/03/2017","1747","N953FR","MCO","17:41"
"F9","02/03/2018","1149","N309FR","LAS","00:36"
"F9","02/03/2018","1517","N211FR","SAT","07:23"
"F9","02/03/2018","1623","N213FR","MCO","12:50"
"F9","02/03/2019","1086","N238FR","MCO","21:19"
"F9","02/03/2019","1087","N305FR","LAS","10:16"
"F9","02/03/2019","1841","N927FR","AUS","11:50"
"F9","02/04/2017","1747","N910FR","MCO","17:44"
"F9","02/04/2018","1149","N310FR","LAS","22:57"
"F9","02/04/2018","1623","N202FR","MCO","12:26"
"F9","02/04/2018","1923","N310FR","AUS","05:52"
"F9","02/05/2017","1747","N941FR","MCO","17:31"
"F9","02/05/2018","1149","N323FR","LAS","22:47"
"F9","02/05/2018","1517","N323FR","SAT","05:54"
"F9","02/05/2018","1623","N310FR","MCO","13:57"
"F9","02/05/2019","1086","N235FR","MCO","16:27"
"F9","02/05/2019","1087","N346FR","LAS","10:31"
"F9","02/05/2019","1841","N949FR","AUS","11:59"
"F9","02/05/2021","1087","N368FR","MCO","14:10"
"F9","02/06/2017","1747","N951FR","MCO","17:23"
"F9","02/06/2018","1149","N230FR","LAS","22:19"
"F9","02/06/2018","1623","N323FR","MCO","13:33"
"F9","02/06/2018","1923","N230FR","AUS","05:58"
"F9","02/06/2019","1086","N232FR","MCO","17:43"
"F9","02/06/2019","1841","N949FR","AUS","11:56"
"F9","02/06/2021","2740","N711FR","ORF","10:58"
"F9","02/07/2017","1747","N941FR","MCO","17:35"
"F9","02/07/2018","1149","N310FR","LAS","22:34"
"F9","02/07/2018","1517","N310FR","SAT","05:55"
"F9","02/07/2018","1623","N202FR","MCO","13:59"
"F9","02/07/2019","1086","N322FR","MCO","16:28"
"F9","02/07/2019","1087","N232FR","LAS","10:08"
"F9","02/07/2019","1841","N949FR","AUS","11:48"
"F9","02/08/2017","1747","N951FR","MCO","17:32"
"F9","02/08/2018","1149","N312FR","LAS","22:21"
"F9","02/08/2018","1623","N316FR","MCO","12:28"
"F9","02/08/2018","1923","N312FR","AUS","06:44"
"F9","02/08/2019","1086","N323FR","MCO","18:00"
"F9","02/08/2021","1087","N353FR","MCO","14:19"
"F9","02/09/2017","1747","N216FR","MCO","19:39"
"F9","02/09/2018","1149","N313FR","LAS","22:35"
"F9","02/09/2018","1517","N313FR","SAT","05:57"
"F9","02/09/2018","1623","N235FR","MCO","12:19"
"F9","02/09/2019","1086","N322FR","MCO","17:35"
"F9","02/09/2019","1841","N949FR","AUS","15:24"
"F9","02/10/2017","1747","N230FR","MCO","17:56"
"F9","02/10/2018","1149","N307FR","LAS","22:32"
"F9","02/10/2018","1517","N307FR","SAT","05:57"
"F9","02/10/2018","1623","N229FR","MCO","12:23"
"F9","02/10/2019","1086","N331FR","MCO","21:19"
"F9","02/10/2019","1087","N329FR","LAS","10:04"
"F9","02/10/2019","1841","N342FR","AUS","11:45"
"F9","02/11/2017","1747","N953FR","MCO","17:39"
"F9","02/11/2018","1149","N310FR","LAS","23:36"
"F9","02/11/2018","1623","N232FR","MCO","13:15"
"F9","02/11/2018","1923","N310FR","AUS","07:42"
"F9","02/11/2021","1087","N352FR","MCO","08:56"
"F9","02/12/2017","1747","N910FR","MCO","17:46"
"F9","02/12/2018","1149","N316FR","LAS","22:32"
"F9","02/12/2018","1517","N316FR","SAT","05:55"
"F9","02/12/2018","1623","N308FR","MCO","12:15"
"F9","02/12/2019","1086","N341FR","MCO","16:23"
"F9","02/12/2019","1087","N316FR","LAS","11:10"
"F9","02/12/2019","1841","N949FR","AUS","11:57"
"F9","02/13/2017","1747","N952FR","MCO","17:49"
"F9","02/13/2018","1149","N303FR","LAS","22:48"
"F9","02/13/2018","1623","N207FR","MCO","13:50"
"F9","02/13/2018","1923","N303FR","AUS","05:54"
"F9","02/13/2019","1086","N329FR","MCO","17:37"
"F9","02/13/2019","1841","N949FR","AUS","11:42"
"F9","02/14/2018","1149","N309FR","LAS","22:31"
"F9","02/14/2018","1517","N309FR","SAT","06:34"
"F9","02/14/2018","1623","N316FR","MCO","12:16"
"F9","02/14/2019","1086","N323FR","MCO","17:35"
"F9","02/14/2019","1087","N309FR","LAS","10:17"
"F9","02/14/2019","1841","N949FR","AUS","11:46"
"F9","02/14/2021","1087","N344FR","MCO","22:50"
"F9","02/15/2017","1747","N948FR","MCO","17:31"
"F9","02/15/2018","1149","N322FR","LAS","00:42"
"F9","02/15/2018","1623","N238FR","MCO","12:20"
"F9","02/15/2018","1923","N322FR","AUS","05:56"
"F9","02/15/2019","1086","N338FR","MCO","17:37"
"F9","02/16/2017","1747","N953FR","MCO","17:50"
"F9","02/16/2018","1149","N309FR","LAS","22:30"
"F9","02/16/2018","1517","N309FR","SAT","05:54"
"F9","02/16/2018","1623","N205FR","MCO","12:18"
"F9","02/16/2019","1086","N335FR","MCO","18:56"
"F9","02/16/2019","1841","N941FR","AUS","11:53"
"F9","02/16/2021","1087","N342FR","MCO","16:10"
"F9","02/17/2017","1747","N951FR","MCO","17:33"
"F9","02/17/2018","1149","N313FR","LAS","22:43"
"F9","02/17/2018","1517","N313FR","SAT","05:56"
"F9","02/17/2018","1623","N228FR","MCO","15:28"
"F9","02/17/2019","1086","N326FR","MCO","17:24"
"F9","02/17/2019","1087","N228FR","LAS","12:35"
"F9","02/17/2019","1841","N941FR","AUS","11:43"
"F9","02/18/2018","1149","N318FR","LAS","22:24"
"F9","02/18/2018","1623","N235FR","MCO","12:17"
"F9","02/18/2018","1923","N318FR","AUS","05:58"
"F9","02/18/2021","1087","N358FR","MCO","09:19"
"F9","02/19/2017","1747","N951FR","MCO","17:29"
"F9","02/19/2018","1149","N310FR","LAS","22:34"
"F9","02/19/2018","1517","N310FR","SAT","05:55"
"F9","02/19/2018","1623","N230FR","MCO","12:20"
"F9","02/19/2019","1086","N227FR","MCO","17:45"
"F9","02/19/2019","1087","N344FR","LAS","10:13"
"F9","02/19/2019","1841","N939FR","AUS","11:50"
"F9","02/20/2017","1747","N947FR","MCO","18:31"
"F9","02/20/2018","1149","N232FR","LAS","22:22"
"F9","02/20/2018","1623","N206FR","MCO","12:44"
"F9","02/20/2018","1923","N232FR","AUS","06:12"
"F9","02/20/2019","1086","N330FR","MCO","17:34"
"F9","02/20/2019","1841","N939FR","AUS","11:48"
"F9","02/21/2017","1747","N953FR","MCO","17:32"
"F9","02/21/2018","1149","N308FR","LAS","00:45"
"F9","02/21/2018","1517","N308FR","SAT","05:50"
"F9","02/21/2018","1623","N236FR","MCO","12:33"
"F9","02/21/2019","1086","N205FR","MCO","19:05"
"F9","02/21/2019","1087","N331FR","LAS","10:17"
"F9","02/21/2019","1841","N939FR","AUS","11:51"
"F9","02/21/2021","1087","N308FR","MCO","23:04"
"F9","02/22/2017","1747","N949FR","MCO","17:37"
"F9","02/22/2018","1149","N307FR","LAS","22:18"
"F9","02/22/2018","1623","N233FR","MCO","12:18"
"F9","02/22/2018","1923","N307FR","AUS","05:54"
"F9","02/22/2019","1086","N308FR","MCO","17:33"
"F9","02/23/2017","1747","N919FR","MCO","17:32"
"F9","02/23/2018","1149","N220FR","LAS","22:30"
"F9","02/23/2018","1517","N220FR","SAT","05:52"
"F9","02/23/2018","1623","N227FR","MCO","12:30"
"F9","02/23/2019","1086","N337FR","MCO","17:40"
"F9","02/23/2019","1841","N927FR","AUS","12:28"
"F9","02/23/2021","1087","N318FR","MCO","16:33"
"F9","02/24/2017","1747","N941FR","MCO","17:33"
"F9","02/24/2018","1149","N235FR","LAS","22:39"
"F9","02/24/2018","1517","N235FR","SAT","05:58"
"F9","02/24/2018","1623","N223FR","MCO","13:19"
"F9","02/24/2019","1086","N330FR","MCO","17:53"
"F9","02/24/2019","1087","N338FR","LAS","10:17"
"F9","02/24/2019","1841","N939FR","AUS","11:54"
"F9","02/25/2017","1747","N953FR","MCO","17:33"
"F9","02/25/2018","1149","N317FR","LAS","22:30"
"F9","02/25/2018","1623","N205FR","MCO","12:28"
"F9","02/25/2018","1923","N317FR","AUS","06:00"
"F9","02/25/2021","1087","N366FR","MCO","08:51"
"F9","02/26/2017","1747","N943FR","MCO","17:34"
"F9","02/26/2018","1149","N307FR","LAS","22:30"
"F9","02/26/2018","1517","N307FR","SAT","05:54"
"F9","02/26/2018","1623","N211FR","MCO","12:23"
"F9","02/26/2019","1086","N335FR","MCO","17:39"
"F9","02/26/2019","1087","N210FR","LAS","10:18"
"F9","02/26/2019","1841","N941FR","AUS","11:47"
"F9","02/27/2017","1747","N952FR","MCO","17:38"
"F9","02/27/2018","1149","N238FR","LAS","22:33"
"F9","02/27/2018","1623","N205FR","MCO","12:14"
"F9","02/27/2018","1923","N238FR","AUS","05:55"
"F9","02/27/2019","1086","N344FR","MCO","18:04"
"F9","02/27/2019","1841","N941FR","AUS","11:51"
"F9","02/28/2017","1747","N943FR","MCO","18:44"
"F9","02/28/2018","1149","N201FR","LAS","22:40"
"F9","02/28/2018","1517","N201FR","SAT","05:54"
"F9","02/28/2018","1623","N304FR","MCO","12:21"
"F9","02/28/2019","1086","N216FR","MCO","17:41"
"F9","02/28/2019","1087","N303FR","LAS","10:05"
"F9","02/28/2019","1841","N938FR","AUS","11:44"
"F9","02/28/2021","1087","N353FR","MCO","22:49"
"F9","03/01/2018","1149","N307FR","LAS","22:17"
"F9","03/01/2018","1623","N313FR","MCO","13:12"
"F9","03/01/2018","1923","N307FR","AUS","05:52"
"F9","03/01/2019","1086","N213FR","MCO","17:44"
"F9","03/02/2017","1747","N941FR","MCO","17:55"
"F9","03/02/2018","1149","N232FR","LAS","22:23"
"F9","03/02/2018","1517","N232FR","SAT","05:58"
"F9","03/02/2018","1623","N203FR","MCO","12:59"
"F9","03/02/2019","1086","","MCO","00:00"
"F9","03/02/2019","1841","N943FR","AUS","11:47"
"F9","03/02/2021","1087","N351FR","MCO","16:56"
"F9","03/03/2017","1747","N902FR","MCO","17:28"
"F9","03/03/2018","1149","N205FR","LAS","22:15"
"F9","03/03/2018","1517","N205FR","SAT","05:53"
"F9","03/03/2018","1623","N238FR","MCO","15:22"
"F9","03/03/2019","1086","N342FR","MCO","16:41"
