Detailed Statistics Departures  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2017, 2018, 2019, 2021, 2022, 2023 and 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Actual departure time
"F9","03/14/2021","1087","N329FR","MCO","09:27"
"F9","03/15/2017","1747","N943FR","MCO","19:18"
"F9","03/15/2018","1149","N303FR","LAS","00:15"
"F9","03/15/2018","1623","N318FR","MCO","22:13"
"F9","03/15/2018","1923","N318FR","AUS","05:54"
"F9","03/15/2019","1086","N339FR","MCO","17:42"
"F9","03/16/2017","1747","N951FR","MCO","17:43"
"F9","03/16/2018","1149","N322FR","LAS","22:07"
"F9","03/16/2018","1517","N322FR","SAT","06:01"
"F9","03/16/2018","1623","N308FR","MCO","12:37"
"F9","03/16/2019","1086","N330FR","MCO","17:52"
"F9","03/16/2019","1841","N910FR","AUS","11:49"
"F9","03/16/2021","1087","N335FR","MCO","17:55"
"F9","03/17/2017","1747","N943FR","MCO","17:37"
"F9","03/17/2018","1149","N236FR","LAS","22:02"
"F9","03/17/2018","1517","N236FR","SAT","05:58"
"F9","03/17/2018","1623","N301FR","MCO","12:35"
"F9","03/17/2019","1086","N301FR","MCO","17:07"
"F9","03/17/2019","1087","N216FR","LAS","10:12"
"F9","03/17/2019","1841","N943FR","AUS","11:48"
"F9","03/18/2017","1747","N949FR","MCO","17:48"
"F9","03/18/2018","1149","N304FR","LAS","22:08"
"F9","03/18/2018","1623","N230FR","MCO","12:29"
"F9","03/18/2018","1923","N304FR","AUS","05:57"
"F9","03/18/2021","1087","N233FR","MCO","09:01"
"F9","03/19/2017","1747","N943FR","MCO","18:56"
"F9","03/19/2018","1149","N232FR","LAS","21:53"
"F9","03/19/2018","1517","N232FR","SAT","05:59"
"F9","03/19/2018","1623","N201FR","MCO","12:44"
"F9","03/19/2019","1086","N206FR","MCO","16:38"
"F9","03/19/2019","1087","N323FR","LAS","10:11"
"F9","03/19/2019","1841","N949FR","AUS","11:46"
"F9","03/20/2017","1747","N910FR","MCO","17:59"
"F9","03/20/2018","1149","N307FR","LAS","22:46"
"F9","03/20/2018","1623","N310FR","MCO","12:51"
"F9","03/20/2018","1923","N307FR","AUS","06:06"
"F9","03/20/2019","1841","N949FR","AUS","11:50"
"F9","03/21/2017","1747","N951FR","MCO","17:38"
"F9","03/21/2018","1149","N238FR","LAS","22:11"
"F9","03/21/2018","1517","N238FR","SAT","06:05"
"F9","03/21/2018","1623","","MCO","00:00"
"F9","03/21/2019","1086","N330FR","MCO","16:58"
"F9","03/21/2019","1087","N201FR","LAS","10:07"
"F9","03/21/2019","1841","N949FR","AUS","11:57"
"F9","03/21/2021","1087","N358FR","MCO","10:04"
"F9","03/22/2017","1747","N941FR","MCO","17:33"
"F9","03/22/2018","1149","N235FR","LAS","22:11"
"F9","03/22/2018","1623","N303FR","MCO","12:38"
"F9","03/22/2018","1923","N235FR","AUS","05:59"
"F9","03/22/2019","1086","N334FR","MCO","18:03"
"F9","03/23/2017","1747","N948FR","MCO","17:34"
"F9","03/23/2018","1149","N310FR","LAS","22:13"
"F9","03/23/2018","1517","N310FR","SAT","05:57"
"F9","03/23/2018","1623","N309FR","MCO","12:32"
"F9","03/23/2019","1086","N304FR","MCO","20:19"
"F9","03/23/2019","1841","N938FR","AUS","11:48"
"F9","03/23/2021","1087","N309FR","MCO","19:15"
"F9","03/24/2017","1747","N941FR","MCO","17:39"
"F9","03/24/2018","1149","N316FR","LAS","22:05"
"F9","03/24/2018","1517","N316FR","SAT","05:52"
"F9","03/24/2018","1623","N307FR","MCO","12:47"
"F9","03/24/2019","1086","N228FR","MCO","17:00"
"F9","03/24/2019","1087","N316FR","LAS","10:09"
"F9","03/24/2019","1841","N910FR","AUS","11:46"
"F9","03/25/2017","1747","N910FR","MCO","17:47"
"F9","03/25/2018","1149","N322FR","LAS","22:02"
"F9","03/25/2018","1623","N301FR","MCO","12:33"
"F9","03/25/2018","1923","N322FR","AUS","05:58"
"F9","03/25/2021","1087","N352FR","MCO","08:59"
"F9","03/26/2017","1747","N951FR","MCO","17:30"
"F9","03/26/2018","1149","N238FR","LAS","22:08"
"F9","03/26/2018","1517","N238FR","SAT","06:00"
"F9","03/26/2018","1623","N207FR","MCO","12:37"
"F9","03/26/2019","1086","N301FR","MCO","18:59"
"F9","03/26/2019","1087","N205FR","LAS","10:11"
"F9","03/26/2019","1841","N910FR","AUS","12:11"
"F9","03/27/2017","1747","N943FR","MCO","17:35"
"F9","03/27/2018","1149","N303FR","LAS","22:28"
"F9","03/27/2018","1623","N301FR","MCO","12:38"
"F9","03/27/2018","1923","N303FR","AUS","05:57"
"F9","03/27/2019","1841","N938FR","AUS","11:49"
"F9","03/27/2021","1087","N705FR","MCO","09:55"
"F9","03/28/2017","1747","N910FR","MCO","17:36"
"F9","03/28/2018","1149","N312FR","LAS","22:06"
"F9","03/28/2018","1517","N312FR","SAT","06:05"
"F9","03/28/2018","1623","N322FR","MCO","12:46"
"F9","03/28/2019","1086","N236FR","MCO","16:32"
"F9","03/28/2019","1087","N335FR","LAS","10:51"
"F9","03/28/2019","1841","N938FR","AUS","11:46"
"F9","03/28/2021","1087","N373FR","MCO","09:43"
"F9","03/29/2017","1747","N948FR","MCO","17:42"
"F9","03/29/2018","1149","N238FR","LAS","22:07"
"F9","03/29/2018","1623","N304FR","MCO","12:32"
"F9","03/29/2018","1923","N238FR","AUS","05:57"
"F9","03/29/2019","1086","N312FR","MCO","17:45"
"F9","03/30/2017","1747","N941FR","MCO","18:14"
"F9","03/30/2018","1149","N322FR","LAS","22:09"
"F9","03/30/2018","1517","N322FR","SAT","05:56"
"F9","03/30/2018","1623","N301FR","MCO","12:32"
"F9","03/30/2019","1086","N313FR","MCO","17:42"
"F9","03/30/2019","1841","N949FR","AUS","11:47"
"F9","03/30/2021","1087","N205FR","MCO","17:45"
"F9","03/31/2018","1149","N221FR","LAS","22:02"
"F9","03/31/2018","1517","N221FR","SAT","06:00"
"F9","03/31/2018","1623","N236FR","MCO","12:53"
"F9","03/31/2019","1086","N304FR","MCO","16:45"
"F9","03/31/2019","1087","N322FR","LAS","10:12"
"F9","03/31/2019","1841","N949FR","AUS","11:46"
"F9","04/01/2017","1747","N943FR","MCO","17:29"
"F9","04/01/2018","1149","N238FR","LAS","22:00"
"F9","04/01/2018","1623","N308FR","MCO","12:31"
"F9","04/01/2018","1923","N238FR","AUS","05:55"
"F9","04/01/2019","7086","N347FR","MCO","12:32"
"F9","04/01/2021","1087","N351FR","MCO","08:55"
"F9","04/02/2017","1747","N910FR","MCO","17:55"
"F9","04/02/2018","1149","N322FR","LAS","22:05"
"F9","04/02/2018","1517","N322FR","SAT","06:02"
"F9","04/02/2018","1623","N311FR","MCO","12:33"
"F9","04/02/2019","1086","N235FR","MCO","16:39"
"F9","04/02/2019","1087","N309FR","LAS","10:18"
"F9","04/02/2019","1841","N941FR","AUS","11:47"
"F9","04/03/2017","1747","N951FR","MCO","17:29"
"F9","04/03/2018","1149","N328FR","LAS","22:05"
"F9","04/03/2018","1623","N223FR","MCO","12:32"
"F9","04/03/2018","1923","N328FR","AUS","05:57"
"F9","04/03/2019","1841","N941FR","AUS","11:47"
"F9","04/03/2021","1087","N324FR","MCO","10:48"
"F9","04/04/2017","1747","N948FR","MCO","19:02"
"F9","04/04/2018","1149","N230FR","LAS","22:15"
"F9","04/04/2018","1517","N230FR","SAT","06:00"
"F9","04/04/2018","1623","N233FR","MCO","12:37"
"F9","04/04/2019","1086","N301FR","MCO","16:40"
"F9","04/04/2019","1087","N308FR","LAS","10:11"
"F9","04/04/2019","1841","N941FR","AUS","11:51"
"F9","04/04/2021","1087","N353FR","MCO","09:42"
"F9","04/05/2017","1747","N943FR","MCO","17:39"
"F9","04/05/2018","1149","N317FR","LAS","22:14"
"F9","04/05/2018","1623","N210FR","MCO","12:37"
"F9","04/05/2018","1923","N317FR","AUS","06:00"
"F9","04/05/2019","1086","N213FR","MCO","18:32"
"F9","04/05/2021","1087","N712FR","MCO","19:31"
"F9","04/06/2017","1747","N953FR","MCO","18:39"
"F9","04/06/2018","1149","N312FR","LAS","22:19"
"F9","04/06/2018","1517","N312FR","SAT","05:55"
"F9","04/06/2018","1623","N311FR","MCO","14:10"
"F9","04/06/2019","1086","N210FR","MCO","17:48"
"F9","04/06/2019","1841","N938FR","AUS","11:50"
"F9","04/06/2021","1087","N339FR","MCO","17:49"
"F9","04/07/2017","1747","N938FR","MCO","18:18"
"F9","04/07/2018","1149","N203FR","LAS","21:53"
"F9","04/07/2018","1517","N203FR","SAT","06:34"
"F9","04/07/2018","1623","N326FR","MCO","15:54"
"F9","04/07/2019","1086","N305FR","MCO","16:41"
"F9","04/07/2019","1087","N210FR","LAS","11:29"
"F9","04/07/2019","1841","N910FR","AUS","11:51"
"F9","04/08/2017","1747","N952FR","MCO","17:54"
"F9","04/08/2018","0455","N326FR","DEN","12:28"
"F9","04/08/2018","1151","N235FR","LAS","08:21"
"F9","04/08/2018","1623","N238FR","MCO","08:05"
"F9","04/08/2018","1901","N948FR","AUS","17:30"
"F9","04/08/2021","1087","N230FR","MCO","08:56"
"F9","04/09/2017","1747","N953FR","MCO","17:46"
"F9","04/09/2018","0453","N310FR","DEN","05:55"
"F9","04/09/2018","1151","N213FR","LAS","07:47"
"F9","04/09/2018","1843","N938FR","SAT","16:18"
"F9","04/09/2018","1879","N948FR","COS","17:56"
"F9","04/09/2019","1086","N211FR","MCO","16:49"
"F9","04/09/2019","1087","N311FR","LAS","10:02"
"F9","04/09/2019","1841","N943FR","AUS","11:47"
"F9","04/09/2021","1087","N210FR","MCO","16:04"
"F9","04/10/2017","1747","N951FR","MCO","18:23"
"F9","04/10/2018","0455","N312FR","DEN","12:42"
"F9","04/10/2018","1151","N202FR","LAS","07:38"
"F9","04/10/2018","1623","N326FR","MCO","05:53"
"F9","04/10/2018","1901","N938FR","AUS","17:16"
"F9","04/10/2019","1841","N943FR","AUS","11:58"
"F9","04/10/2021","1089","N332FR","MCO","22:02"
"F9","04/11/2017","1747","N943FR","MCO","17:47"
"F9","04/11/2018","0453","N221FR","DEN","06:00"
"F9","04/11/2018","1151","N236FR","LAS","08:06"
"F9","04/11/2018","1879","N938FR","COS","17:35"
"F9","04/11/2018","1973","N941FR","TUL","16:22"
"F9","04/11/2019","1086","N312FR","MCO","17:04"
"F9","04/11/2019","1087","N213FR","LAS","10:19"
"F9","04/11/2019","1841","N943FR","AUS","11:53"
"F9","04/11/2021","1087","N360FR","MCO","14:10"
"F9","04/12/2017","1747","N941FR","MCO","17:42"
"F9","04/12/2018","0455","N328FR","DEN","12:17"
"F9","04/12/2018","1151","N220FR","LAS","07:37"
"F9","04/12/2018","1623","N328FR","MCO","05:54"
"F9","04/12/2018","1901","N941FR","AUS","18:01"
"F9","04/12/2019","1086","N341FR","MCO","19:18"
"F9","04/12/2021","1087","N720FR","MCO","17:55"
"F9","04/13/2017","1747","N952FR","MCO","17:43"
"F9","04/13/2018","0453","N216FR","DEN","06:11"
"F9","04/13/2018","1151","N312FR","LAS","07:42"
"F9","04/13/2018","1843","N941FR","SAT","18:18"
"F9","04/13/2018","1879","N938FR","COS","19:21"
"F9","04/13/2019","1086","N339FR","MCO","17:44"
"F9","04/13/2019","1841","N939FR","AUS","11:44"
"F9","04/13/2021","1087","N342FR","MCO","17:55"
"F9","04/14/2017","1747","N953FR","MCO","17:48"
"F9","04/14/2018","0453","N223FR","DEN","05:57"
"F9","04/14/2018","1151","N211FR","LAS","10:10"
"F9","04/14/2018","1879","N941FR","COS","17:37"
"F9","04/14/2018","1973","N943FR","TUL","20:06"
"F9","04/14/2019","1086","N236FR","MCO","16:45"
"F9","04/14/2019","1087","N339FR","LAS","10:12"
"F9","04/14/2019","1841","N941FR","AUS","11:46"
"F9","04/15/2017","1747","N910FR","MCO","17:46"
"F9","04/15/2018","0455","N233FR","DEN","12:18"
"F9","04/15/2018","1151","N317FR","LAS","07:42"
"F9","04/15/2018","1623","N233FR","MCO","05:51"
"F9","04/15/2018","1901","N919FR","AUS","17:52"
"F9","04/15/2021","1087","N311FR","MCO","09:50"
"F9","04/16/2017","1747","N948FR","MCO","17:43"
"F9","04/16/2018","0453","N318FR","DEN","05:55"
"F9","04/16/2018","1151","N313FR","LAS","07:51"
"F9","04/16/2018","1843","N943FR","SAT","16:21"
"F9","04/16/2018","1879","N919FR","COS","18:12"
"F9","04/16/2019","1086","N344FR","MCO","16:45"
"F9","04/16/2019","1087","N305FR","LAS","10:10"
"F9","04/16/2019","1841","N910FR","AUS","11:47"
"F9","04/17/2017","1747","N943FR","MCO","17:54"
"F9","04/17/2018","0455","N201FR","DEN","12:36"
"F9","04/17/2018","1151","N206FR","LAS","07:43"
"F9","04/17/2018","1623","N201FR","MCO","05:55"
"F9","04/17/2018","1901","N943FR","AUS","17:30"
"F9","04/17/2019","1841","N949FR","AUS","11:45"
"F9","04/18/2017","1747","N952FR","MCO","17:43"
"F9","04/18/2018","0453","N304FR","DEN","06:58"
"F9","04/18/2018","1151","N233FR","LAS","08:23"
"F9","04/18/2018","1879","N943FR","COS","21:35"
"F9","04/18/2018","1973","N910FR","TUL","16:48"
"F9","04/18/2019","1086","N213FR","MCO","17:45"
"F9","04/18/2019","1087","N330FR","LAS","10:07"
"F9","04/18/2019","1841","N949FR","AUS","11:53"
"F9","04/18/2021","1087","N361FR","MCO","08:55"
"F9","04/19/2017","1747","N941FR","MCO","17:45"
"F9","04/19/2018","0455","N324FR","DEN","12:16"
"F9","04/19/2018","1151","N326FR","LAS","07:39"
"F9","04/19/2018","1623","N324FR","MCO","05:51"
"F9","04/19/2018","1901","N910FR","AUS","18:47"
"F9","04/19/2019","1086","N337FR","MCO","20:19"
"F9","04/20/2017","1747","N910FR","MCO","20:17"
"F9","04/20/2018","0453","N205FR","DEN","06:00"
"F9","04/20/2018","1151","N308FR","LAS","07:38"
"F9","04/20/2018","1843","N948FR","SAT","16:18"
"F9","04/20/2018","1879","N910FR","COS","17:42"
"F9","04/20/2019","1086","N346FR","MCO","17:44"
"F9","04/20/2019","1841","N949FR","AUS","11:53"
"F9","04/20/2021","1087","N361FR","MCO","18:29"
"F9","04/21/2017","0323","N213FR","DEN","18:46"
"F9","04/21/2017","1623","N213FR","MCO","06:25"
"F9","04/21/2017","1925","N207FR","AUS","12:26"
"F9","04/21/2018","0453","N230FR","DEN","05:55"
"F9","04/21/2018","1151","N324FR","LAS","07:39"
"F9","04/21/2018","1879","","COS","00:00"
"F9","04/21/2018","1973","N948FR","TUL","17:00"
"F9","04/21/2019","1086","N323FR","MCO","16:55"
"F9","04/21/2019","1087","N334FR","LAS","10:08"
"F9","04/21/2019","1841","N949FR","AUS","12:00"
"F9","04/22/2017","0323","N910FR","DEN","21:54"
"F9","04/22/2017","1623","N910FR","MCO","06:22"
"F9","04/22/2017","1925","N238FR","AUS","12:14"
"F9","04/22/2018","0455","N202FR","DEN","12:20"
"F9","04/22/2018","1151","N238FR","LAS","07:38"
"F9","04/22/2018","1623","N202FR","MCO","05:59"
"F9","04/22/2018","1901","N948FR","AUS","18:33"
"F9","04/22/2021","1087","N362FR","MCO","08:59"
"F9","04/23/2017","0323","N941FR","DEN","19:40"
"F9","04/23/2017","1623","N941FR","MCO","07:53"
"F9","04/23/2018","0453","N322FR","DEN","05:57"
"F9","04/23/2018","1151","N313FR","LAS","07:54"
"F9","04/23/2018","1843","N922FR","SAT","16:40"
"F9","04/23/2018","1879","N948FR","COS","17:42"
"F9","04/23/2019","1086","N336FR","MCO","16:45"
"F9","04/23/2019","1087","N311FR","LAS","10:16"
"F9","04/23/2019","1841","N910FR","AUS","11:53"
"F9","04/24/2017","0323","N951FR","DEN","19:16"
"F9","04/24/2017","1623","N943FR","MCO","06:25"
"F9","04/24/2017","1925","N213FR","AUS","12:25"
"F9","04/24/2018","0455","N328FR","DEN","12:15"
"F9","04/24/2018","1151","N211FR","LAS","07:43"
"F9","04/24/2018","1623","N328FR","MCO","05:45"
"F9","04/24/2018","1901","N922FR","AUS","17:43"
"F9","04/24/2019","1841","N949FR","AUS","17:32"
"F9","04/25/2017","0323","N910FR","DEN","19:19"
"F9","04/25/2017","1623","N910FR","MCO","06:28"
"F9","04/25/2018","0453","N318FR","DEN","05:57"
"F9","04/25/2018","1151","N210FR","LAS","07:56"
"F9","04/25/2018","1879","N922FR","COS","18:32"
"F9","04/25/2018","1973","N938FR","TUL","16:21"
"F9","04/25/2019","1086","N341FR","MCO","16:54"
"F9","04/25/2019","1087","N323FR","LAS","11:11"
"F9","04/25/2019","1841","N943FR","AUS","12:18"
"F9","04/25/2021","1087","N202FR","MCO","09:01"
"F9","04/26/2017","0323","N941FR","DEN","19:02"
"F9","04/26/2017","1623","N941FR","MCO","06:30"
"F9","04/26/2017","1925","N201FR","AUS","12:30"
"F9","04/26/2018","0455","N203FR","DEN","12:20"
"F9","04/26/2018","1151","N318FR","LAS","07:39"
"F9","04/26/2018","1623","N228FR","MCO","05:59"
"F9","04/26/2018","1901","N938FR","AUS","18:47"
"F9","04/26/2019","1086","N338FR","MCO","18:41"
"F9","04/27/2017","0323","N910FR","DEN","18:47"
"F9","04/27/2017","1623","N910FR","MCO","06:25"
"F9","04/27/2018","0453","N232FR","DEN","05:56"
"F9","04/27/2018","1151","N322FR","LAS","07:51"
"F9","04/27/2018","1843","N910FR","SAT","16:37"
"F9","04/27/2018","1879","N938FR","COS","18:02"
"F9","04/27/2019","1086","N308FR","MCO","17:57"
"F9","04/27/2019","1841","N910FR","AUS","11:47"
"F9","04/27/2021","1087","N371FR","MCO","18:18"
"F9","04/28/2017","0323","N919FR","DEN","18:51"
"F9","04/28/2017","1623","N910FR","MCO","06:22"
"F9","04/28/2017","1925","N238FR","AUS","12:17"
"F9","04/28/2018","0453","N236FR","DEN","05:57"
"F9","04/28/2018","1151","N318FR","LAS","08:20"
"F9","04/28/2018","1879","N910FR","COS","17:30"
"F9","04/28/2018","1973","N938FR","TUL","16:22"
"F9","04/28/2019","1086","N318FR","MCO","16:36"
"F9","04/28/2019","1087","N342FR","LAS","10:07"
"F9","04/28/2019","1841","N949FR","AUS","12:17"
"F9","04/29/2017","0323","N919FR","DEN","18:55"
"F9","04/29/2017","1623","N919FR","MCO","06:31"
"F9","04/29/2017","1925","N218FR","AUS","12:17"
"F9","04/29/2018","0455","N303FR","DEN","12:09"
"F9","04/29/2018","1151","N206FR","LAS","07:31"
"F9","04/29/2018","1623","N303FR","MCO","06:18"
"F9","04/29/2018","1901","N938FR","AUS","17:34"
"F9","04/29/2021","1087","N365FR","MCO","09:22"
"F9","04/30/2017","0323","N923FR","DEN","19:03"
"F9","04/30/2017","1623","N923FR","MCO","06:27"
"F9","04/30/2018","0453","N330FR","DEN","05:57"
"F9","04/30/2018","1151","N236FR","LAS","08:01"
"F9","04/30/2018","1843","N939FR","SAT","16:18"
"F9","04/30/2018","1879","N309FR","COS","17:38"
"F9","04/30/2019","0455","N308FR","DEN","21:49"
"F9","04/30/2019","1841","N308FR","AUS","13:33"
"F9","04/30/2019","2034","N331FR","MCO","14:40"
"F9","04/30/2019","2035","N342FR","LAS","17:02"
"F9","04/30/2019","2823","N338FR","COS","15:56"
"F9","05/01/2017","0323","N941FR","DEN","18:52"
"F9","05/01/2017","1623","N941FR","MCO","07:22"
"F9","05/01/2017","1925","N235FR","AUS","12:22"
"F9","05/01/2018","0455","N223FR","DEN","12:06"
"F9","05/01/2018","1151","N322FR","LAS","07:37"
"F9","05/01/2018","1623","N310FR","MCO","05:49"
"F9","05/01/2018","1901","N939FR","AUS","18:18"
"F9","05/01/2019","0455","N350FR","DEN","21:22"
"F9","05/02/2017","0323","N948FR","DEN","18:47"
"F9","05/02/2017","1623","N948FR","MCO","06:47"
"F9","05/02/2018","0453","N221FR","DEN","05:58"
"F9","05/02/2018","1151","N228FR","LAS","07:37"
"F9","05/02/2018","1879","N939FR","COS","17:39"
"F9","05/02/2018","1973","N943FR","TUL","16:34"
"F9","05/02/2019","0455","N310FR","DEN","22:05"
"F9","05/02/2019","1841","N310FR","AUS","13:32"
"F9","05/02/2019","2034","N317FR","MCO","14:31"
"F9","05/02/2019","2035","N210FR","LAS","21:13"
"F9","05/02/2019","2823","N201FR","COS","19:12"
"F9","05/02/2021","1087","N308FR","MCO","09:20"
"F9","05/03/2017","0323","N948FR","DEN","18:50"
"F9","05/03/2017","1623","N948FR","MCO","06:55"
"F9","05/03/2017","1925","N309FR","AUS","12:23"
"F9","05/03/2018","0455","N303FR","DEN","12:12"
"F9","05/03/2018","1151","N318FR","LAS","09:20"
"F9","05/03/2018","1623","N303FR","MCO","05:55"
"F9","05/03/2018","1901","N943FR","AUS","18:20"
"F9","05/03/2019","0453","N305FR","DEN","22:34"
"F9","05/04/2017","0323","N949FR","DEN","21:53"
"F9","05/04/2017","1623","N943FR","MCO","06:27"
"F9","05/04/2018","0453","N206FR","DEN","06:15"
"F9","05/04/2018","1151","N201FR","LAS","07:35"
"F9","05/04/2018","1843","N922FR","SAT","16:15"
"F9","05/04/2018","1879","N943FR","COS","17:57"
"F9","05/04/2019","0455","N230FR","DEN","21:51"
"F9","05/04/2019","1841","N230FR","AUS","13:37"
"F9","05/04/2021","1087","N232FR","MCO","00:23"
"F9","05/05/2017","0323","N951FR","DEN","19:05"
"F9","05/05/2017","1623","N952FR","MCO","07:46"
"F9","05/05/2017","1925","N233FR","AUS","12:19"
"F9","05/05/2018","0453","N205FR","DEN","06:20"
"F9","05/05/2018","1151","N323FR","LAS","07:35"
"F9","05/05/2018","1879","N922FR","COS","17:49"
"F9","05/05/2018","1973","N938FR","TUL","16:26"
"F9","05/05/2019","0455","N229FR","DEN","21:52"
"F9","05/05/2019","1841","N229FR","AUS","13:41"
"F9","05/05/2019","2034","N307FR","MCO","14:37"
"F9","05/05/2019","2035","N235FR","LAS","18:09"
"F9","05/05/2019","2823","N316FR","COS","15:48"
"F9","05/06/2017","0323","N920FR","DEN","18:51"
"F9","05/06/2017","1623","N920FR","MCO","07:00"
"F9","05/06/2017","1925","N304FR","AUS","12:18"
"F9","05/06/2018","0455","N203FR","DEN","12:08"
"F9","05/06/2018","1151","N304FR","LAS","07:37"
"F9","05/06/2018","1623","N203FR","MCO","05:55"
"F9","05/06/2018","1901","","AUS","00:00"
"F9","05/06/2019","0455","N939FR","DEN","20:24"
"F9","05/06/2021","1087","N342FR","MCO","08:51"
"F9","05/07/2017","0323","N951FR","DEN","18:52"
"F9","05/07/2017","1623","N951FR","MCO","06:30"
"F9","05/07/2018","0453","N316FR","DEN","06:17"
"F9","05/07/2018","1151","N305FR","LAS","07:43"
"F9","05/07/2018","1843","N926FR","SAT","16:59"
"F9","05/07/2018","1879","N927FR","COS","17:56"
"F9","05/07/2019","0455","N206FR","DEN","21:50"
"F9","05/07/2019","1841","N206FR","AUS","13:32"
"F9","05/07/2019","2034","N233FR","MCO","14:34"
"F9","05/07/2019","2035","N318FR","LAS","17:03"
"F9","05/07/2019","2823","N346FR","COS","15:41"
"F9","05/08/2017","0323","N948FR","DEN","18:46"
"F9","05/08/2017","1623","N948FR","MCO","06:24"
"F9","05/08/2017","1925","N220FR","AUS","12:20"
"F9","05/08/2018","0455","N324FR","DEN","12:11"
"F9","05/08/2018","1151","N323FR","LAS","07:35"
"F9","05/08/2018","1623","N207FR","MCO","05:57"
"F9","05/08/2018","1901","N926FR","AUS","18:19"
"F9","05/08/2019","0455","N207FR","DEN","21:22"
"F9","05/09/2017","0323","N941FR","DEN","18:47"
"F9","05/09/2017","1623","N941FR","MCO","06:20"
"F9","05/09/2018","0453","N312FR","DEN","05:55"
"F9","05/09/2018","1151","N316FR","LAS","07:41"
"F9","05/09/2018","1879","N926FR","COS","18:21"
"F9","05/09/2018","1973","N927FR","TUL","16:25"
"F9","05/09/2019","0455","N349FR","DEN","22:04"
"F9","05/09/2019","1841","N349FR","AUS","13:44"
"F9","05/09/2019","2034","N326FR","MCO","14:52"
"F9","05/09/2019","2035","N307FR","LAS","17:05"
"F9","05/09/2019","2823","N223FR","COS","15:44"
"F9","05/09/2021","1087","N311FR","MCO","09:06"
"F9","05/10/2017","0323","N943FR","DEN","18:51"
"F9","05/10/2017","1623","N943FR","MCO","06:19"
"F9","05/10/2017","1925","N235FR","AUS","12:17"
"F9","05/10/2018","0455","N235FR","DEN","12:08"
"F9","05/10/2018","1151","N203FR","LAS","08:45"
"F9","05/10/2018","1623","N235FR","MCO","06:00"
"F9","05/10/2018","1901","N324FR","AUS","21:58"
"F9","05/10/2019","0455","N347FR","DEN","21:06"
"F9","05/11/2017","0323","N943FR","DEN","19:02"
"F9","05/11/2017","1623","N943FR","MCO","06:21"
"F9","05/11/2018","0453","N233FR","DEN","06:06"
"F9","05/11/2018","1151","N328FR","LAS","07:35"
"F9","05/11/2018","1843","N910FR","SAT","16:29"
"F9","05/11/2018","1879","N927FR","COS","17:47"
"F9","05/11/2019","0455","N347FR","DEN","21:54"
"F9","05/11/2019","1841","N347FR","AUS","13:30"
"F9","05/11/2021","1087","N326FR","MCO","17:59"
"F9","05/12/2017","0323","N910FR","DEN","18:47"
"F9","05/12/2017","1623","N910FR","MCO","06:21"
"F9","05/12/2017","1925","N309FR","AUS","12:14"
"F9","05/12/2018","0453","N206FR","DEN","06:09"
"F9","05/12/2018","1151","N312FR","LAS","07:41"
"F9","05/12/2018","1879","N910FR","COS","17:44"
"F9","05/12/2018","1973","N923FR","TUL","16:34"
"F9","05/12/2019","0455","N324FR","DEN","21:33"
"F9","05/12/2019","1841","N324FR","AUS","13:25"
"F9","05/12/2019","2034","N229FR","MCO","14:52"
"F9","05/12/2019","2035","N235FR","LAS","17:03"
"F9","05/12/2019","2823","N323FR","COS","15:46"
"F9","05/13/2017","0323","N941FR","DEN","19:34"
"F9","05/13/2017","1623","N941FR","MCO","06:23"
"F9","05/13/2017","1925","N233FR","AUS","12:12"
"F9","05/13/2018","0455","N227FR","DEN","12:23"
"F9","05/13/2018","1151","N223FR","LAS","07:56"
"F9","05/13/2018","1623","N227FR","MCO","06:34"
"F9","05/13/2018","1901","N923FR","AUS","17:48"
"F9","05/13/2019","0455","N324FR","DEN","20:50"
"F9","05/13/2021","1087","N356FR","MCO","09:00"
"F9","05/14/2017","0323","N952FR","DEN","18:47"
"F9","05/14/2017","1623","N952FR","MCO","06:23"
"F9","05/14/2018","0453","N323FR","DEN","06:00"
"F9","05/14/2018","1151","N202FR","LAS","08:17"
"F9","05/14/2018","1843","N943FR","SAT","20:02"
"F9","05/14/2018","1879","N923FR","COS","20:25"
"F9","05/14/2019","0455","N329FR","DEN","21:56"
"F9","05/14/2019","1841","N329FR","AUS","13:35"
"F9","05/14/2019","2034","N232FR","MCO","14:42"
"F9","05/14/2019","2035","N332FR","LAS","17:15"
"F9","05/14/2019","2823","N229FR","COS","15:49"
"F9","05/15/2017","0323","N952FR","DEN","18:49"
"F9","05/15/2017","1623","N952FR","MCO","06:24"
"F9","05/15/2017","1925","N238FR","AUS","12:13"
"F9","05/15/2018","0455","N328FR","DEN","12:10"
"F9","05/15/2018","1151","N207FR","LAS","07:39"
"F9","05/15/2018","1623","N328FR","MCO","06:20"
"F9","05/15/2018","1901","N943FR","AUS","20:22"
"F9","05/15/2019","0455","N211FR","DEN","21:22"
"F9","05/16/2017","0323","N910FR","DEN","18:49"
"F9","05/16/2017","1623","N910FR","MCO","06:17"
