State Name,Enplanements,Median Household Income,Per Capita Income,Gini Index of Income Inequality,Total Population,Median Home Value,State Code (FIPS),Year,Unemployment Rate,Percent Foreigners,State Code (USPS),MDS_D1,MDS_D2,MDS_D3
New York,3167695.1666666665,82095.0,48847.0,0.5157,19571216.0,420200.0,36,2023,0.0258866388271428,0.2308490182725488,NY,2.9344660105102953,2.23394208828438,2.004046388966882
North Carolina,4813540.285714285,70804.0,40414.0,0.4732,10835491.0,308600.0,37,2023,0.0202814990109816,0.0918395853035178,NC,0.6566972647027655,0.12761336038061008,-0.5778541562413062
North Dakota,254794.5,76525.0,42814.0,0.4451,783926.0,246700.0,38,2023,0.0154210984200039,0.03966700938609,ND,-1.6332789162936303,-0.926251083389832,-1.3167691697108106
Ohio,2324355.1666666665,67769.0,39395.0,0.4695,11785935.0,220200.0,39,2023,0.0206516496145617,0.0527631452235227,OH,0.871912905573645,-0.06394710019427967,-1.3150843456520318
Oklahoma,1852251.5,62138.0,34206.0,0.4737,4053824.0,208600.0,40,2023,0.0219084498981702,0.0611343758387142,OK,1.1783114584116199,-1.3780429295945995,-1.092580643494141
Oregon,3022271.6666666665,80160.0,44623.0,0.4636,4233358.0,484800.0,41,2023,0.0213393244795266,0.096068416609226,OR,-0.513563440116273,-0.1709838048469604,0.7711564513500337
Pennsylvania,2930786.1666666665,73824.0,42605.0,0.4774,12961683.0,259900.0,42,2023,0.0218537206935241,0.079566827857154,PA,1.076712314625677,0.4110313043451669,-0.5186039189118355
Rhode Island,1731554.0,84972.0,46525.0,0.4661,1095962.0,411800.0,44,2023,0.0255592803400117,0.1470817418852113,RI,0.07973117683037281,-0.4176770050002586,1.8383092039175093
South Carolina,1635193.5,67804.0,38097.0,0.4715,5373555.0,272900.0,45,2023,0.0209888984108285,0.0588880173367537,SC,0.6486158649189229,-0.8681628946764964,-0.7837028543627448
South Dakota,500313.5,71810.0,40263.0,0.462,919318.0,268200.0,46,2023,0.0138602746818837,0.0434485129193597,SD,-0.9964643291759686,-0.4353559616827846,-1.943589819618027
Tennessee,3103555.6,67631.0,38538.0,0.476,7126489.0,307300.0,47,2023,0.0199370264936913,0.0606217170895794,TN,0.6802657237788218,-0.5508413337215674,-0.8635545729631581
Texas,5727010.533333333,75780.0,39775.0,0.479,30503301.0,296900.0,48,2023,0.0224911395655178,0.1788426767319379,TX,2.136328656650997,2.814722514656805,-0.6440765448395197
Utah,12277651.0,93421.0,40096.0,0.4225,3417734.0,517700.0,49,2023,0.0177453833446371,0.088884623554671,UT,-2.9724349465785815,-0.8645140438587455,0.7143355537078732
Vermont,649014.0,81211.0,46029.0,0.4549,647464.0,332000.0,50,2023,0.0143173983418383,0.0448627259585088,VT,-1.843701428172563,-0.10290822285974421,-1.031022562112149
Virginia,1280296.5,89931.0,48689.0,0.4723,8715698.0,382900.0,51,2023,0.0188890207072342,0.1334931522409335,VA,-0.45068059164944824,1.1225913889318062,0.6305550363781754
Washington,8084969.666666667,94605.0,52011.0,0.4703,7812880.0,576000.0,53,2023,0.0233440165470351,0.1553758665178525,WA,-0.5066406098306228,1.0747371298531452,2.3258710972208663
West Virginia,97306.33333333331,55948.0,32766.0,0.4679,1770071.0,163700.0,54,2023,0.0202551197098873,0.018262544270823,WV,0.8613081291713934,-1.963731481312785,-1.95560301667336
Wisconsin,963269.6,74631.0,41785.0,0.4479,5910955.0,272500.0,55,2023,0.0147114975498883,0.0520895523650577,WI,-1.3496569691138869,-0.45240656500140897,-1.4245613730773274
Wyoming,494652.0,72415.0,39966.0,0.4455,584057.0,298700.0,56,2023,0.0163032032832411,0.0364313757047685,WY,-1.3273054751686062,-1.2289745901088385,-1.2195328039788522
