Date,Flight Count,Carrier Type,Year,Month,Week,Day,Day of Week
2017-04-09,478,Low-cost,2017,4,14,9,Sun
2017-04-10,483,Low-cost,2017,4,15,10,Mon
2017-04-11,485,Low-cost,2017,4,15,11,Tue
2017-04-12,485,Low-cost,2017,4,15,12,Wed
2017-04-13,491,Low-cost,2017,4,15,13,Thu
2017-04-14,487,Low-cost,2017,4,15,14,Fri
2017-04-15,420,Low-cost,2017,4,15,15,Sat
2017-04-16,477,Low-cost,2017,4,15,16,Sun
2017-04-17,485,Low-cost,2017,4,16,17,Mon
2017-04-18,485,Low-cost,2017,4,16,18,Tue
2017-04-19,484,Low-cost,2017,4,16,19,Wed
2017-04-20,490,Low-cost,2017,4,16,20,Thu
2017-04-21,496,Low-cost,2017,4,16,21,Fri
2017-04-22,430,Low-cost,2017,4,16,22,Sat
2017-04-23,484,Low-cost,2017,4,16,23,Sun
2017-04-24,494,Low-cost,2017,4,17,24,Mon
2017-04-25,481,Low-cost,2017,4,17,25,Tue
2017-04-26,484,Low-cost,2017,4,17,26,Wed
2017-04-27,506,Low-cost,2017,4,17,27,Thu
2017-04-28,511,Low-cost,2017,4,17,28,Fri
2017-04-29,420,Low-cost,2017,4,17,29,Sat
2017-04-30,489,Low-cost,2017,4,17,30,Sun
2017-05-01,507,Low-cost,2017,5,18,1,Mon
2017-05-02,507,Low-cost,2017,5,18,2,Tue
2017-05-03,507,Low-cost,2017,5,18,3,Wed
2017-05-04,509,Low-cost,2017,5,18,4,Thu
2017-05-05,510,Low-cost,2017,5,18,5,Fri
2017-05-06,421,Low-cost,2017,5,18,6,Sat
2017-05-07,488,Low-cost,2017,5,18,7,Sun
2017-05-08,510,Low-cost,2017,5,19,8,Mon
2017-05-09,508,Low-cost,2017,5,19,9,Tue
2017-05-10,508,Low-cost,2017,5,19,10,Wed
2017-05-11,509,Low-cost,2017,5,19,11,Thu
2017-05-12,511,Low-cost,2017,5,19,12,Fri
2017-05-13,421,Low-cost,2017,5,19,13,Sat
2017-05-14,490,Low-cost,2017,5,19,14,Sun
2017-05-15,509,Low-cost,2017,5,20,15,Mon
2017-05-16,510,Low-cost,2017,5,20,16,Tue
2017-05-17,509,Low-cost,2017,5,20,17,Wed
2017-05-18,510,Low-cost,2017,5,20,18,Thu
2017-05-19,511,Low-cost,2017,5,20,19,Fri
2017-05-20,421,Low-cost,2017,5,20,20,Sat
2017-05-21,490,Low-cost,2017,5,20,21,Sun
2017-05-22,509,Low-cost,2017,5,21,22,Mon
2017-05-23,510,Low-cost,2017,5,21,23,Tue
2017-05-24,510,Low-cost,2017,5,21,24,Wed
2017-05-25,512,Low-cost,2017,5,21,25,Thu
2017-05-26,515,Low-cost,2017,5,21,26,Fri
2017-05-27,425,Low-cost,2017,5,21,27,Sat
2017-05-28,435,Low-cost,2017,5,21,28,Sun
2017-05-29,481,Low-cost,2017,5,22,29,Mon
2017-05-30,513,Low-cost,2017,5,22,30,Tue
2017-05-31,514,Low-cost,2017,5,22,31,Wed
2017-06-01,513,Low-cost,2017,6,22,1,Thu
2017-06-02,516,Low-cost,2017,6,22,2,Fri
2017-06-03,424,Low-cost,2017,6,22,3,Sat
2017-06-04,503,Low-cost,2017,6,22,4,Sun
2017-06-05,520,Low-cost,2017,6,23,5,Mon
2017-06-06,520,Low-cost,2017,6,23,6,Tue
2017-06-07,521,Low-cost,2017,6,23,7,Wed
2017-06-08,517,Low-cost,2017,6,23,8,Thu
2017-06-09,520,Low-cost,2017,6,23,9,Fri
2017-06-10,441,Low-cost,2017,6,23,10,Sat
2017-06-11,502,Low-cost,2017,6,23,11,Sun
2017-06-12,521,Low-cost,2017,6,24,12,Mon
2017-06-13,520,Low-cost,2017,6,24,13,Tue
2017-06-14,521,Low-cost,2017,6,24,14,Wed
2017-06-15,522,Low-cost,2017,6,24,15,Thu
2017-06-16,526,Low-cost,2017,6,24,16,Fri
2017-06-17,444,Low-cost,2017,6,24,17,Sat
2017-06-18,502,Low-cost,2017,6,24,18,Sun
2017-06-19,522,Low-cost,2017,6,25,19,Mon
2017-06-20,521,Low-cost,2017,6,25,20,Tue
2017-06-21,521,Low-cost,2017,6,25,21,Wed
2017-06-22,521,Low-cost,2017,6,25,22,Thu
2017-06-23,521,Low-cost,2017,6,25,23,Fri
2017-06-24,444,Low-cost,2017,6,25,24,Sat
2017-06-25,502,Low-cost,2017,6,25,25,Sun
2017-06-26,522,Low-cost,2017,6,26,26,Mon
2017-06-27,520,Low-cost,2017,6,26,27,Tue
2017-06-28,521,Low-cost,2017,6,26,28,Wed
2017-06-29,521,Low-cost,2017,6,26,29,Thu
2017-06-30,523,Low-cost,2017,6,26,30,Fri
2017-07-01,445,Low-cost,2017,7,26,1,Sat
2017-07-02,500,Low-cost,2017,7,26,2,Sun
2017-07-03,474,Low-cost,2017,7,27,3,Mon
2017-07-04,463,Low-cost,2017,7,27,4,Tue
2017-07-05,520,Low-cost,2017,7,27,5,Wed
2017-07-06,521,Low-cost,2017,7,27,6,Thu
2017-07-07,521,Low-cost,2017,7,27,7,Fri
2017-07-08,444,Low-cost,2017,7,27,8,Sat
2017-07-09,502,Low-cost,2017,7,27,9,Sun
2017-07-10,523,Low-cost,2017,7,28,10,Mon
2017-07-11,521,Low-cost,2017,7,28,11,Tue
2017-07-12,522,Low-cost,2017,7,28,12,Wed
2017-07-13,523,Low-cost,2017,7,28,13,Thu
2017-07-14,524,Low-cost,2017,7,28,14,Fri
2017-07-15,446,Low-cost,2017,7,28,15,Sat
2017-07-16,503,Low-cost,2017,7,28,16,Sun
2017-07-17,525,Low-cost,2017,7,29,17,Mon
2017-07-18,523,Low-cost,2017,7,29,18,Tue
2017-07-19,524,Low-cost,2017,7,29,19,Wed
2017-07-20,525,Low-cost,2017,7,29,20,Thu
2017-07-21,524,Low-cost,2017,7,29,21,Fri
2017-07-22,448,Low-cost,2017,7,29,22,Sat
2017-07-23,505,Low-cost,2017,7,29,23,Sun
2017-07-24,526,Low-cost,2017,7,30,24,Mon
2017-07-25,523,Low-cost,2017,7,30,25,Tue
2017-07-26,524,Low-cost,2017,7,30,26,Wed
2017-07-27,525,Low-cost,2017,7,30,27,Thu
2017-07-28,526,Low-cost,2017,7,30,28,Fri
2017-07-29,448,Low-cost,2017,7,30,29,Sat
2017-07-30,504,Low-cost,2017,7,30,30,Sun
2017-07-31,526,Low-cost,2017,7,31,31,Mon
2017-08-01,523,Low-cost,2017,8,31,1,Tue
2017-08-02,524,Low-cost,2017,8,31,2,Wed
2017-08-03,525,Low-cost,2017,8,31,3,Thu
2017-08-04,526,Low-cost,2017,8,31,4,Fri
2017-08-05,448,Low-cost,2017,8,31,5,Sat
2017-08-06,505,Low-cost,2017,8,31,6,Sun
2017-08-07,524,Low-cost,2017,8,32,7,Mon
2017-08-08,521,Low-cost,2017,8,32,8,Tue
2017-08-09,522,Low-cost,2017,8,32,9,Wed
2017-08-10,523,Low-cost,2017,8,32,10,Thu
2017-08-11,524,Low-cost,2017,8,32,11,Fri
2017-08-12,448,Low-cost,2017,8,32,12,Sat
2017-08-13,502,Low-cost,2017,8,32,13,Sun
2017-08-14,512,Low-cost,2017,8,33,14,Mon
2017-08-15,497,Low-cost,2017,8,33,15,Tue
2017-08-16,503,Low-cost,2017,8,33,16,Wed
2017-08-17,504,Low-cost,2017,8,33,17,Thu
2017-08-18,505,Low-cost,2017,8,33,18,Fri
2017-08-19,412,Low-cost,2017,8,33,19,Sat
2017-08-20,489,Low-cost,2017,8,33,20,Sun
2017-08-21,505,Low-cost,2017,8,34,21,Mon
2017-08-22,503,Low-cost,2017,8,34,22,Tue
2017-08-23,504,Low-cost,2017,8,34,23,Wed
2017-08-24,505,Low-cost,2017,8,34,24,Thu
2017-08-25,504,Low-cost,2017,8,34,25,Fri
2017-08-26,411,Low-cost,2017,8,34,26,Sat
2017-08-27,489,Low-cost,2017,8,34,27,Sun
2017-08-28,505,Low-cost,2017,8,35,28,Mon
2017-08-29,503,Low-cost,2017,8,35,29,Tue
2017-08-30,504,Low-cost,2017,8,35,30,Wed
2017-08-31,505,Low-cost,2017,8,35,31,Thu
2017-09-01,503,Low-cost,2017,9,35,1,Fri
2017-09-02,385,Low-cost,2017,9,35,2,Sat
2017-09-03,415,Low-cost,2017,9,35,3,Sun
2017-09-04,493,Low-cost,2017,9,36,4,Mon
2017-09-05,499,Low-cost,2017,9,36,5,Tue
2017-09-06,493,Low-cost,2017,9,36,6,Wed
2017-09-07,494,Low-cost,2017,9,36,7,Thu
2017-09-08,489,Low-cost,2017,9,36,8,Fri
2017-09-09,408,Low-cost,2017,9,36,9,Sat
2017-09-10,484,Low-cost,2017,9,36,10,Sun
2017-09-11,496,Low-cost,2017,9,37,11,Mon
2017-09-12,473,Low-cost,2017,9,37,12,Tue
2017-09-13,471,Low-cost,2017,9,37,13,Wed
2017-09-14,497,Low-cost,2017,9,37,14,Thu
2017-09-15,493,Low-cost,2017,9,37,15,Fri
2017-09-16,408,Low-cost,2017,9,37,16,Sat
2017-09-17,483,Low-cost,2017,9,37,17,Sun
2017-09-18,496,Low-cost,2017,9,38,18,Mon
2017-09-19,471,Low-cost,2017,9,38,19,Tue
2017-09-20,470,Low-cost,2017,9,38,20,Wed
2017-09-21,496,Low-cost,2017,9,38,21,Thu
2017-09-22,494,Low-cost,2017,9,38,22,Fri
2017-09-23,408,Low-cost,2017,9,38,23,Sat
2017-09-24,484,Low-cost,2017,9,38,24,Sun
2017-09-25,496,Low-cost,2017,9,39,25,Mon
2017-09-26,471,Low-cost,2017,9,39,26,Tue
2017-09-27,470,Low-cost,2017,9,39,27,Wed
2017-09-28,496,Low-cost,2017,9,39,28,Thu
2017-09-29,494,Low-cost,2017,9,39,29,Fri
2017-09-30,392,Low-cost,2017,9,39,30,Sat
2017-10-01,480,Low-cost,2017,10,39,1,Sun
2017-10-02,495,Low-cost,2017,10,40,2,Mon
2017-10-03,473,Low-cost,2017,10,40,3,Tue
2017-10-04,471,Low-cost,2017,10,40,4,Wed
2017-10-05,503,Low-cost,2017,10,40,5,Thu
2017-10-06,497,Low-cost,2017,10,40,6,Fri
2017-10-07,411,Low-cost,2017,10,40,7,Sat
2017-10-08,488,Low-cost,2017,10,40,8,Sun
2017-10-09,503,Low-cost,2017,10,41,9,Mon
2017-10-10,482,Low-cost,2017,10,41,10,Tue
2017-10-11,481,Low-cost,2017,10,41,11,Wed
2017-10-12,508,Low-cost,2017,10,41,12,Thu
2017-10-13,504,Low-cost,2017,10,41,13,Fri
2017-10-14,414,Low-cost,2017,10,41,14,Sat
2017-10-15,490,Low-cost,2017,10,41,15,Sun
2017-10-16,505,Low-cost,2017,10,42,16,Mon
2017-10-17,482,Low-cost,2017,10,42,17,Tue
2017-10-18,481,Low-cost,2017,10,42,18,Wed
2017-10-19,508,Low-cost,2017,10,42,19,Thu
2017-10-20,503,Low-cost,2017,10,42,20,Fri
2017-10-21,414,Low-cost,2017,10,42,21,Sat
2017-10-22,490,Low-cost,2017,10,42,22,Sun
2017-10-23,506,Low-cost,2017,10,43,23,Mon
2017-10-24,482,Low-cost,2017,10,43,24,Tue
2017-10-25,481,Low-cost,2017,10,43,25,Wed
2017-10-26,508,Low-cost,2017,10,43,26,Thu
2017-10-27,503,Low-cost,2017,10,43,27,Fri
2017-10-28,413,Low-cost,2017,10,43,28,Sat
2017-10-29,494,Low-cost,2017,10,43,29,Sun
2017-10-30,511,Low-cost,2017,10,44,30,Mon
2017-10-31,438,Low-cost,2017,10,44,31,Tue
2017-11-01,474,Low-cost,2017,11,44,1,Wed
2017-11-02,505,Low-cost,2017,11,44,2,Thu
2017-11-03,499,Low-cost,2017,11,44,3,Fri
2017-11-04,405,Low-cost,2017,11,44,4,Sat
2017-11-05,495,Low-cost,2017,11,44,5,Sun
2017-11-06,504,Low-cost,2017,11,45,6,Mon
2017-11-07,482,Low-cost,2017,11,45,7,Tue
2017-11-08,480,Low-cost,2017,11,45,8,Wed
2017-11-09,486,Low-cost,2017,11,45,9,Thu
2017-11-10,487,Low-cost,2017,11,45,10,Fri
2017-11-11,386,Low-cost,2017,11,45,11,Sat
2017-11-12,480,Low-cost,2017,11,45,12,Sun
2017-11-13,489,Low-cost,2017,11,46,13,Mon
2017-11-14,487,Low-cost,2017,11,46,14,Tue
2017-11-15,486,Low-cost,2017,11,46,15,Wed
