Flight Count,Year,Month,Week,Day,Day of Week,Holiday
2614,2017,6,23,10,Sat,
3033,2017,6,23,11,Sun,
3160,2017,6,24,12,Mon,
3128,2017,6,24,13,Tue,
3136,2017,6,24,14,Wed,
3155,2017,6,24,15,Thu,
3165,2017,6,24,16,Fri,
2640,2017,6,24,17,Sat,
3022,2017,6,24,18,Sun,
3163,2017,6,25,19,Mon,
3133,2017,6,25,20,Tue,
3140,2017,6,25,21,Wed,
3162,2017,6,25,22,Thu,
3165,2017,6,25,23,Fri,
2644,2017,6,25,24,Sat,
3045,2017,6,25,25,Sun,
3176,2017,6,26,26,Mon,
3131,2017,6,26,27,Tue,
3137,2017,6,26,28,Wed,
3170,2017,6,26,29,Thu,
3192,2017,6,26,30,Fri,
2665,2017,7,26,1,Sat,
2712,2017,7,26,2,Sun,
2702,2017,7,27,3,Mon,
2696,2017,7,27,4,Tue,Independence Day
3074,2017,7,27,5,Wed,
3081,2017,7,27,6,Thu,
3089,2017,7,27,7,Fri,
2661,2017,7,27,8,Sat,
3068,2017,7,27,9,Sun,
3209,2017,7,28,10,Mon,
3168,2017,7,28,11,Tue,
3173,2017,7,28,12,Wed,
3184,2017,7,28,13,Thu,
3193,2017,7,28,14,Fri,
2664,2017,7,28,15,Sat,
3071,2017,7,28,16,Sun,
3212,2017,7,29,17,Mon,
3172,2017,7,29,18,Tue,
3169,2017,7,29,19,Wed,
3193,2017,7,29,20,Thu,
3193,2017,7,29,21,Fri,
2667,2017,7,29,22,Sat,
3075,2017,7,29,23,Sun,
3214,2017,7,30,24,Mon,
3171,2017,7,30,25,Tue,
3179,2017,7,30,26,Wed,
3195,2017,7,30,27,Thu,
3193,2017,7,30,28,Fri,
2663,2017,7,30,29,Sat,
3070,2017,7,30,30,Sun,
3211,2017,7,31,31,Mon,
3165,2017,8,31,1,Tue,
3173,2017,8,31,2,Wed,
3191,2017,8,31,3,Thu,
3194,2017,8,31,4,Fri,
2663,2017,8,31,5,Sat,
3064,2017,8,31,6,Sun,
3198,2017,8,32,7,Mon,
3156,2017,8,32,8,Tue,
3160,2017,8,32,9,Wed,
3174,2017,8,32,10,Thu,
3178,2017,8,32,11,Fri,
2660,2017,8,32,12,Sat,
3037,2017,8,32,13,Sun,
3161,2017,8,33,14,Mon,
3091,2017,8,33,15,Tue,
3113,2017,8,33,16,Wed,
3142,2017,8,33,17,Thu,
3141,2017,8,33,18,Fri,
2592,2017,8,33,19,Sat,
2997,2017,8,33,20,Sun,
3138,2017,8,34,21,Mon,
3075,2017,8,34,22,Tue,
3101,2017,8,34,23,Wed,
3146,2017,8,34,24,Thu,
3144,2017,8,34,25,Fri,
2489,2017,8,34,26,Sat,
2943,2017,8,34,27,Sun,
3100,2017,8,35,28,Mon,
3048,2017,8,35,29,Tue,
3066,2017,8,35,30,Wed,
3108,2017,8,35,31,Thu,
3118,2017,9,35,1,Fri,
2321,2017,9,35,2,Sat,
2419,2017,9,35,3,Sun,
2982,2017,9,36,4,Mon,Labor Day
2952,2017,9,36,5,Tue,
2772,2017,9,36,6,Wed,
2921,2017,9,36,7,Thu,
2926,2017,9,36,8,Fri,
2355,2017,9,36,9,Sat,
2917,2017,9,36,10,Sun,
3086,2017,9,37,11,Mon,
2927,2017,9,37,12,Tue,
2964,2017,9,37,13,Wed,
3086,2017,9,37,14,Thu,
3076,2017,9,37,15,Fri,
2391,2017,9,37,16,Sat,
2902,2017,9,37,17,Sun,
3084,2017,9,38,18,Mon,
2926,2017,9,38,19,Tue,
2961,2017,9,38,20,Wed,
3076,2017,9,38,21,Thu,
3070,2017,9,38,22,Fri,
2396,2017,9,38,23,Sat,
2898,2017,9,38,24,Sun,
3079,2017,9,39,25,Mon,
2922,2017,9,39,26,Tue,
2959,2017,9,39,27,Wed,
3088,2017,9,39,28,Thu,
3072,2017,9,39,29,Fri,
2371,2017,9,39,30,Sat,
2908,2017,10,39,1,Sun,
3085,2017,10,40,2,Mon,
2939,2017,10,40,3,Tue,
2971,2017,10,40,4,Wed,
3103,2017,10,40,5,Thu,
3071,2017,10,40,6,Fri,
2361,2017,10,40,7,Sat,
2883,2017,10,40,8,Sun,
3080,2017,10,41,9,Mon,Columbus Day
2952,2017,10,41,10,Tue,
2983,2017,10,41,11,Wed,
3090,2017,10,41,12,Thu,
3076,2017,10,41,13,Fri,
2366,2017,10,41,14,Sat,
2920,2017,10,41,15,Sun,
3079,2017,10,42,16,Mon,
2955,2017,10,42,17,Tue,
2984,2017,10,42,18,Wed,
3090,2017,10,42,19,Thu,
3076,2017,10,42,20,Fri,
2366,2017,10,42,21,Sat,
2915,2017,10,42,22,Sun,
3076,2017,10,43,23,Mon,
2896,2017,10,43,24,Tue,
2926,2017,10,43,25,Wed,
3088,2017,10,43,26,Thu,
