Date,Airline,Flight Count,Year
2020-08-02,American,0,2020
2020-08-09,American,0,2020
2020-08-16,American,0,2020
2020-08-23,American,0,2020
2020-08-30,American,0,2020
2020-09-06,American,0,2020
2020-09-13,American,0,2020
2020-09-20,American,0,2020
2020-09-27,American,0,2020
2020-10-04,American,0,2020
2020-10-11,American,0,2020
2020-10-18,American,0,2020
2020-10-25,American,0,2020
2020-11-01,American,0,2020
2020-11-08,American,0,2020
2020-11-15,American,0,2020
2020-11-22,American,0,2020
2020-11-29,American,0,2020
2020-12-06,American,0,2020
2020-12-13,American,0,2020
2020-12-20,American,0,2020
2020-12-27,American,0,2020
2021-01-03,American,1620,2021
2021-01-10,American,3472,2021
2021-01-17,American,3436,2021
2021-01-24,American,3442,2021
2021-01-31,American,3450,2021
2021-02-07,American,3440,2021
2021-02-14,American,3362,2021
2021-02-21,American,3439,2021
2021-02-28,American,3440,2021
2021-03-07,American,3865,2021
2021-03-14,American,4309,2021
2021-03-21,American,4309,2021
2021-03-28,American,4320,2021
2021-04-04,American,4514,2021
2021-04-11,American,4714,2021
2021-04-18,American,4710,2021
2021-04-25,American,4710,2021
2021-05-02,American,4709,2021
2021-05-09,American,5114,2021
2021-05-16,American,5588,2021
2021-05-23,American,5618,2021
2021-05-30,American,5547,2021
2021-06-06,American,6087,2021
2021-06-13,American,6700,2021
2021-06-20,American,6698,2021
2021-06-27,American,6632,2021
2021-07-04,American,6345,2021
2021-07-11,American,6458,2021
2021-07-18,American,6627,2021
2021-07-25,American,6755,2021
2021-08-01,American,6757,2021
2021-08-08,American,6746,2021
2021-08-15,American,6739,2021
2021-08-22,American,6449,2021
2021-08-29,American,6381,2021
2021-09-05,American,6089,2021
2021-09-12,American,6112,2021
2021-09-19,American,6160,2021
2021-09-26,American,6166,2021
2021-10-03,American,6164,2021
2021-10-10,American,6336,2021
2021-10-17,American,6578,2021
2021-10-24,American,6590,2021
2021-10-31,American,6475,2021
2021-11-07,American,6675,2021
2021-11-14,American,6766,2021
2021-11-21,American,6634,2021
2021-11-28,American,6138,2021
2021-12-05,American,6767,2021
2021-12-12,American,6630,2021
2021-12-19,American,6306,2021
2021-12-26,American,6147,2021
2022-01-02,American,6050,2022
2022-01-09,American,6185,2022
2022-01-16,American,6175,2022
2022-01-23,American,6238,2022
2022-01-30,American,6181,2022
2022-02-06,American,6256,2022
2022-02-13,American,6397,2022
2022-02-20,American,6362,2022
2022-02-27,American,6416,2022
2022-03-06,American,6369,2022
2022-03-13,American,6292,2022
2022-03-20,American,6295,2022
2022-03-27,American,6291,2022
2022-04-03,American,6281,2022
2022-04-10,American,6117,2022
2022-04-17,American,6090,2022
2022-04-24,American,6108,2022
2022-05-01,American,6113,2022
2022-05-08,American,6201,2022
2022-05-15,American,6320,2022
2022-05-22,American,6325,2022
2022-05-29,American,6323,2022
2022-06-05,American,6468,2022
2022-06-12,American,6761,2022
2022-06-19,American,6763,2022
2022-06-26,American,6765,2022
2022-07-03,American,6641,2022
2022-07-10,American,6690,2022
2022-07-17,American,6683,2022
2022-07-24,American,6677,2022
2022-07-31,American,6672,2022
2022-08-07,American,6663,2022
2022-08-14,American,6787,2022
2022-08-21,American,6807,2022
2022-08-28,American,6817,2022
2022-09-04,American,6565,2022
2022-09-11,American,6593,2022
2022-09-18,American,6483,2022
2022-09-25,American,6497,2022
2022-10-02,American,6470,2022
2022-10-09,American,6596,2022
2022-10-16,American,6745,2022
2022-10-23,American,6749,2022
2022-10-30,American,6626,2022
2022-11-06,American,6326,2022
2022-11-13,American,6410,2022
2022-11-20,American,6411,2022
2022-11-27,American,6074,2022
2022-12-04,American,6361,2022
2022-12-11,American,6341,2022
2022-12-18,American,6478,2022
2022-12-25,American,5950,2022
2023-01-01,American,6315,2023
2023-01-08,American,6359,2023
2023-01-15,American,6188,2023
2023-01-22,American,6351,2023
2023-01-29,American,6349,2023
2023-02-05,American,6511,2023
2023-02-12,American,6655,2023
2023-02-19,American,6584,2023
2023-02-26,American,6794,2023
2023-03-05,American,6714,2023
2023-03-12,American,6683,2023
2023-03-19,American,6672,2023
2023-03-26,American,6635,2023
2023-04-02,American,6490,2023
2023-04-09,American,6552,2023
2023-04-16,American,6737,2023
2023-04-23,American,6731,2023
2023-04-30,American,6735,2023
2023-05-07,American,6725,2023
2023-05-14,American,6777,2023
2023-05-21,American,6775,2023
2023-05-28,American,6650,2023
2023-06-04,American,7006,2023
