State Name,Enplanements,Median Household Income,Per Capita Income,Gini Index of Income Inequality,Total Population,Median Home Value,State Code (FIPS),Year,Unemployment Rate,Percent Foreigners,State Code (USPS),PC1,PC2,PC3
Alabama,669767.75,62212.0,35046.0,0.4771,5108468.0,216600.0,01,2023,0.018803876230603773,0.039765933739821804,AL,-1.767545272551011,1.0626208748954686,-0.39655360895117286
Alaska,211240.47619047618,86631.0,45792.0,0.4492,733406.0,347500.0,02,2023,0.02386808943477419,0.0744076268806091,AK,0.12157710645255904,-1.0086244828922162,-0.5866593799203557
Arizona,12272662.5,77315.0,41290.0,0.465,7431344.0,411200.0,04,2023,0.020882494472063196,0.13199859944580683,AZ,0.35704750848810907,0.01650153356599578,0.37321243877870824
Arkansas,1096748.0,58700.0,33012.0,0.474,3067732.0,195700.0,05,2023,0.019463890587574143,0.052918573069616254,AR,-2.005391338190404,1.1813279465390656,-0.4278211188351393
California,5954075.933333334,95521.0,48013.0,0.487,38965193.0,725800.0,06,2023,0.028508931034936746,0.273064655422084,CA,5.34891379309907,1.8981343614702253,2.736927560496326
Colorado,5431622.857142857,92911.0,51768.0,0.4575,5877610.0,550300.0,08,2023,0.021154176612602743,0.09580441710150894,CO,1.4005241064861926,-1.57975470493496,-0.05862577604875206
Connecticut,1779898.5,91665.0,53119.0,0.4954,3617176.0,367800.0,09,2023,0.025086697467858906,0.16327875668753747,CT,2.285550338117372,0.2864786635387232,-1.467210351583181
District of Columbia,9853241.5,108210.0,78479.0,0.5163,678972.0,715500.0,11,2023,0.03149761698567835,0.14055807897822,DC,5.797098589020081,-1.048575697908225,-3.6681128362259585
Florida,5814655.571428572,73311.0,41902.0,0.4829,22610726.0,381000.0,12,2023,0.020342071280683337,0.22099573450228888,FL,1.5646304699558313,1.7202997326631615,1.682970924504612
Georgia,11743640.0,74632.0,39685.0,0.4787,11029227.0,323000.0,13,2023,0.02243049308895356,0.11555315707982074,GA,0.3008450420791126,1.0956520880058882,0.10273022768509141
Hawaii,3362938.8,95322.0,43794.0,0.4512,1435138.0,846400.0,15,2023,0.017018572429968407,0.17820934293426835,HI,1.8225461766305602,-2.6988883674885007,1.1263123529584709
Idaho,886164.6666666666,74942.0,37426.0,0.4404,1964726.0,428600.0,16,2023,0.01776023730535454,0.057009985107338124,ID,-1.279594343132278,-1.260112185502342,0.5885747124736601
